,Economy ISO3,Indicator,2009-01-01,2009-01-01 00:00:00,2009-02-01,2009-03-01,2009-04-01,2009-04-01 00:00:00,2009-05-01,2009-06-01,2009-07-01,2009-07-01 00:00:00,2009-08-01,2009-09-01,2009-10-01,2009-10-01 00:00:00,2009-11-01,2009-12-01,2010-01-01,2010-01-01 00:00:00,2010-02-01,2010-03-01,2010-04-01,2010-04-01 00:00:00,2010-05-01,2010-06-01,2010-07-01,2010-07-01 00:00:00,2010-08-01,2010-09-01,2010-10-01,2010-10-01 00:00:00,2010-11-01,2010-12-01,2011-01-01,2011-01-01 00:00:00,2011-02-01,2011-03-01,2011-04-01,2011-04-01 00:00:00,2011-05-01,2011-06-01,2011-07-01,2011-07-01 00:00:00,2011-08-01,2011-09-01,2011-10-01,2011-10-01 00:00:00,2011-11-01,2011-12-01,2012-01-01,2012-01-01 00:00:00,2012-02-01,2012-03-01,2012-04-01,2012-04-01 00:00:00,2012-05-01,2012-06-01,2012-07-01,2012-07-01 00:00:00,2012-08-01,2012-09-01,2012-10-01,2012-10-01 00:00:00,2012-11-01,2012-12-01,2013-01-01,2013-01-01 00:00:00,2013-02-01,2013-03-01,2013-04-01,2013-04-01 00:00:00,2013-05-01,2013-06-01,2013-07-01,2013-07-01 00:00:00,2013-08-01,2013-09-01,2013-10-01,2013-10-01 00:00:00,2013-11-01,2013-12-01,2014-01-01,2014-01-01 00:00:00,2014-02-01,2014-03-01,2014-04-01,2014-04-01 00:00:00,2014-05-01,2014-06-01,2014-07-01,2014-07-01 00:00:00,2014-08-01,2014-09-01,2014-10-01,2014-10-01 00:00:00,2014-11-01,2014-12-01,2015-01-01,2015-01-01 00:00:00,2015-02-01,2015-03-01,2015-04-01,2015-04-01 00:00:00,2015-05-01,2015-06-01,2015-07-01,2015-07-01 00:00:00,2015-08-01,2015-09-01,2015-10-01,2015-10-01 00:00:00,2015-11-01,2015-12-01,2016-01-01,2016-01-01 00:00:00,2016-02-01,2016-03-01,2016-04-01,2016-04-01 00:00:00,2016-05-01,2016-06-01,2016-07-01,2016-07-01 00:00:00,2016-08-01,2016-09-01,2016-10-01,2016-10-01 00:00:00,2016-11-01,2016-12-01,2017-01-01,2017-01-01 00:00:00,2017-02-01,2017-03-01,2017-04-01,2017-04-01 00:00:00,2017-05-01,2017-06-01,2017-07-01,2017-07-01 00:00:00,2017-08-01,2017-09-01,2017-10-01,2017-10-01 00:00:00,2017-11-01,2017-12-01,2018-01-01,2018-01-01 00:00:00,2018-02-01,2018-03-01,2018-04-01,2018-04-01 00:00:00,2018-05-01,2018-06-01,2018-07-01,2018-07-01 00:00:00,2018-08-01,2018-09-01,2018-10-01,2018-10-01 00:00:00,2018-11-01,2018-12-01,2019-01-01,2019-01-01 00:00:00,2019-02-01,2019-03-01,2019-04-01,2019-04-01 00:00:00,2019-05-01,2019-06-01,2019-07-01,2019-07-01 00:00:00,2019-08-01,2019-09-01,2019-10-01,2019-10-01 00:00:00,2019-11-01,2019-12-01,2020-01-01,2020-01-01 00:00:00,2020-02-01,2020-03-01,2020-04-01,2020-04-01 00:00:00,2020-05-01,2020-06-01,2020-07-01,2020-07-01 00:00:00,2020-08-01,2020-09-01,2020-10-01,2020-10-01 00:00:00,2020-11-01,2020-12-01,2021-01-01,2021-01-01 00:00:00,2021-02-01,2021-03-01,2021-04-01,2021-04-01 00:00:00,2021-05-01,2021-06-01,2021-07-01,2021-07-01 00:00:00,2021-08-01,2021-09-01,2021-10-01,2021-10-01 00:00:00,2021-11-01,2021-12-01,2022-01-01,2022-01-01 00:00:00,2022-02-01,2022-03-01,2022-04-01,2022-04-01 00:00:00,2022-05-01,2022-06-01,2022-07-01,2022-07-01 00:00:00,2022-08-01,2022-09-01,2022-10-01,2022-10-01 00:00:00,2022-11-01,2022-12-01,2023-01-01,2023-01-01 00:00:00,2023-02-01,2023-03-01,2023-12-01
1280,IRL,"Food price inflation, annual",-3.47,,,,,,,,,,,,,,,,-4.56,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,-2.24,,,,,,,,,,,,,,,,-2.14,,,,,,,,,,,,,,,,-1.33,,,,,,,,,,,,,,,,-2.07,,,,,,,,,,,,,,,,-2.03,,,,,,,,,,,,,,,,-0.67,,,,,,,,,,,,,,,,-1.41,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,
1283,IRL,"Headline consumer price inflation, annual",-4.48,,,,,,,,,,,,,,,,-0.92,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,7.81,,,,,,,,,,,,,,,,,,,,
1286,IRL,"Producer price inflation, annual",0.44,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,-0.41,,,,,,,,,,,,,,,,-1.29,,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,-1.23,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,-1.77,,,,,,,,,,,,,,,,-1.48,,,,,,,,,,,,,,,,-8.72,,,,,,,,,,,,,,,,-0.93,,,,,,,,,,,,,,,,8.72,,,,,,,,,,,,,,,,,,,,
1289,IRN,"Official core consumer price inflation, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.31,,,,,,,,,,,,,,,,17.68,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,7.11,,,,,,,,,,,,,,,,5.99,,,,,,,,,,,,,,,,17.15,,,,,,,,,,,,,,,,33.81,,,,,,,,,,,,,,,,33.07,,,,,,,,,,,,,,,,37.24,,,,,,,,,,,,,,,,35.85,,,,,,,,,,,,,,,,,,,,
1290,IRN,"Estimated core consumer price inflation, annual",5.63,,,,,,,,,,,,,,,,5.07,,,,,,,,,,,,,,,,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,IRN,"GDP deflator growth rate, annual",4.6,,,,,,,,,,,,,,,,15.88,,,,,,,,,,,,,,,,23.74,,,,,,,,,,,,,,,,24.02,,,,,,,,,,,,,,,,35.57,,,,,,,,,,,,,,,,10.84,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,,,32.9,,,,,,,,,,,,,,,,36.91,,,,,,,,,,,,,,,,33.77,,,,,,,,,,,,,,,,56.32,,,,,,,,,,,,,,,,55.09,,,,,,,,,,,,,,,,,,,,
1297,IRN,"Energy price inflation, annual",17.02,,,,,,,,,,,,,,,,5.84,,,,,,,,,,,,,,,,16.72,,,,,,,,,,,,,,,,13.58,,,,,,,,,,,,,,,,19.27,,,,,,,,,,,,,,,,18.53,,,,,,,,,,,,,,,,16.01,,,,,,,,,,,,,,,,7.89,,,,,,,,,,,,,,,,6.42,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,24.12,,,,,,,,,,,,,,,,23.88,,,,,,,,,,,,,,,,26.86,,,,,,,,,,,,,,,,29.53,,,,,,,,,,,,,,,,,,,,
1300,IRN,"Food price inflation, annual",11.87,,,,,,,,,,,,,,,,12.42,,,,,,,,,,,,,,,,26.07,,,,,,,,,,,,,,,,37.99,,,,,,,,,,,,,,,,50.08,,,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,10.52,,,,,,,,,,,,,,,,6.57,,,,,,,,,,,,,,,,12.52,,,,,,,,,,,,,,,,23.13,,,,,,,,,,,,,,,,55.71,,,,,,,,,,,,,,,,27.77,,,,,,,,,,,,,,,,59.22,,,,,,,,,,,,,,,,60.48,,,,,,,,,,,,,,,,,,,,
1303,IRN,"Headline consumer price inflation, annual",10.82,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,21.53,,,,,,,,,,,,,,,,30.57,,,,,,,,,,,,,,,,36.58,,,,,,,,,,,,,,,,16.61,,,,,,,,,,,,,,,,12.47,,,,,,,,,,,,,,,,7.26,,,,,,,,,,,,,,,,9.64,,,,,,,,,,,,,,,,17.95,,,,,,,,,,,,,,,,41.02,,,,,,,,,,,,,,,,36.5,,,,,,,,,,,,,,,,43.39,,,,,,,,,,,,,,,,36.16,,,,,,,,,,,,,,,,,,,,
1308,IRN,"Producer price inflation, annual",9.09,,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,,,,,37.86,,,,,,,,,,,,,,,,24.68,,,,,,,,,,,,,,,,37.27,,,,,,,,,,,,,,,,17.22,,,,,,,,,,,,,,,,6.98,,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,9.71,,,,,,,,,,,,,,,,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,IRQ,"Official core consumer price inflation, annual",5.12,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,,,,,6.46,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,2.39,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,-0.19,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,6.42,,,,,,,,,,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,
1312,IRQ,"Estimated core consumer price inflation, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,IRQ,"GDP deflator growth rate, annual",-19.52,,,,,,,,,,,,,,,,16.54,,,,,,,,,,,,,,,,24.55,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,-26.1,,,,,,,,,,,,,,,,-13.4,,,,,,,,,,,,,,,,14.62,,,,,,,,,,,,,,,,15.36,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-12.52,,,,,,,,,,,,,,,,33.45,,,,,,,,,,,,,,,,37.9,,,,,,,,,,,,,,,,,,,,
1318,IRQ,"Energy price inflation, annual",-37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,2.69,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,,-1.32,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,4.64,,,,,,,,,,,,,,,,,,,,
1320,IRQ,"Food price inflation, annual",7.6,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,,,,,-3.14,,,,,,,,,,,,,,,,-1.84,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-0.49,,,,,,,,,,,,,,,,4.86,,,,,,,,,,,,,,,,6.16,,,,,,,,,,,,,,,,,,,,
1323,IRQ,"Headline consumer price inflation, annual",-2.19,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,6.09,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,6.04,,,,,,,,,,,,,,,,4.99,,,,,,,,,,,,,,,,,,,,
1326,ISL,"Official core consumer price inflation, annual",11.39,,,,,,,,,,,,,,,,4.68,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,4.59,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,2.53,,,,,,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,7.79,,,,,,,,,,,,,,,,,,,,
1327,ISL,"Estimated core consumer price inflation, annual",9.41,,,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,3.59,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,3.05,,,,,,,,,,,,,,,,5.28,,,,,,,,,,,,,,,,,,,,
1332,ISL,"GDP deflator growth rate, annual",10.8,,,,,,,,,,,,,,,,6.37,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,3.44,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,4.14,,,,,,,,,,,,,,,,6.05,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,2.66,,,,,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,,3.45,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,8.29,,,,,,,,,,,,,,,,,,,,
1334,ISL,"Energy price inflation, annual",0.57,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,6.16,,,,,,,,,,,,,,,,5.16,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,5.83,,,,,,,,,,,,,,,,6.01,,,,,,,,,,,,,,,,6.64,,,,,,,,,,,,,,,,11.92,,,,,,,,,,,,,,,,6.48,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,7.38,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,
1337,ISL,"Food price inflation, annual",17.53,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,3.83,,,,,,,,,,,,,,,,6.09,,,,,,,,,,,,,,,,5.09,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,-2.42,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,,,7.23,,,,,,,,,,,,,,,,,,,,
1340,ISL,"Headline consumer price inflation, annual",12.0,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,5.19,,,,,,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,8.31,,,,,,,,,,,,,,,,,,,,
1343,ISL,"Producer price inflation, annual",11.33,,,,,,,,,,,,,,,,11.76,,,,,,,,,,,,,,,,9.18,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,-4.36,,,,,,,,,,,,,,,,-0.66,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,-8.09,,,,,,,,,,,,,,,,-4.57,,,,,,,,,,,,,,,,6.78,,,,,,,,,,,,,,,,4.92,,,,,,,,,,,,,,,,23.11,,,,,,,,,,,,,,,,11.46,,,,,,,,,,,,,,,,17.27,,,,,,,,,,,,,,,,,,,,
1346,ISR,"Official core consumer price inflation, annual",4.25,,,,,,,,,,,,,,,,2.86,,,,,,,,,,,,,,,,2.96,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,
1347,ISR,"Estimated core consumer price inflation, annual",1.54,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,ISR,"GDP deflator growth rate, annual",4.14,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,3.55,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,,,,
1354,ISR,"Energy price inflation, annual",12.53,,,,,,,,,,,,,,,,5.02,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,-0.45,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,5.41,,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,,,,,,,,
1357,ISR,"Food price inflation, annual",1.07,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,3.34,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,-1.35,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,-1.27,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,
1360,ISR,"Headline consumer price inflation, annual",3.33,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,3.47,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,-0.63,,,,,,,,,,,,,,,,-0.54,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,-0.59,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,,,
1365,ISR,"Producer price inflation, annual",-6.35,,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,7.76,,,,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,-1.37,,,,,,,,,,,,,,,,-5.86,,,,,,,,,,,,,,,,-3.62,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,-1.11,,,,,,,,,,,,,,,,-4.9,,,,,,,,,,,,,,,,6.83,,,,,,,,,,,,,,,,13.06,,,,,,,,,,,,,,,,,,,,
1368,ITA,"Official core consumer price inflation, annual",-13.39,,,,,,,,,,,,,,,,13.78,,,,,,,,,,,,,,,,-3.33,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,-28.62,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,
1369,ITA,"Estimated core consumer price inflation, annual",0.48,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,ITA,"GDP deflator growth rate, annual",1.68,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,
1376,ITA,"Energy price inflation, annual",-0.12,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,5.18,,,,,,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,-0.81,,,,,,,,,,,,,,,,-1.64,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,-8.21,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,,,,,,50.17,,,,,,,,,,,,,,,,,,,,
1379,ITA,"Food price inflation, annual",1.8,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,9.14,,,,,,,,,,,,,,,,,,,,
1382,ITA,"Headline consumer price inflation, annual",0.77,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,
1387,ITA,"Producer price inflation, annual",-4.71,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,,4.77,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,-1.09,,,,,,,,,,,,,,,,-1.44,,,,,,,,,,,,,,,,-2.68,,,,,,,,,,,,,,,,-1.93,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,56.14,,,,,,,,,,,,,,,,6.22,,,,,,,,,,,,,,,,42.77,,,,,,,,,,,,,,,,,,,,
1390,JAM,"GDP deflator growth rate, annual",10.58,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,6.11,,,,,,,,,,,,,,,,6.45,,,,,,,,,,,,,,,,8.73,,,,,,,,,,,,,,,,7.05,,,,,,,,,,,,,,,,6.71,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,6.89,,,,,,,,,,,,,,,,5.06,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,7.43,,,,,,,,,,,,,,,,7.43,,,,,,,,,,,,,,,,,,,,
1391,JAM,"Energy price inflation, annual",2.81,,,,,,,,,,,,,,,,20.67,,,,,,,,,,,,,,,,12.24,,,,,,,,,,,,,,,,5.85,,,,,,,,,,,,,,,,8.29,,,,,,,,,,,,,,,,6.47,,,,,,,,,,,,,,,,-9.1,,,,,,,,,,,,,,,,-1.38,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,6.31,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,5.31,,,,,,,,,,,,,,,,7.79,,,,,,,,,,,,,,,,,,,,
1394,JAM,"Food price inflation, annual",13.05,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,7.69,,,,,,,,,,,,,,,,10.82,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,8.62,,,,,,,,,,,,,,,,7.77,,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,4.46,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,6.33,,,,,,,,,,,,,,,,10.83,,,,,,,,,,,,,,,,6.72,,,,,,,,,,,,,,,,11.95,,,,,,,,,,,,,,,,,,,,
1397,JAM,"Headline consumer price inflation, annual",9.58,,,,,,,,,,,,,,,,12.59,,,,,,,,,,,,,,,,7.53,,,,,,,,,,,,,,,,6.88,,,,,,,,,,,,,,,,9.35,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,3.68,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,3.73,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,5.23,,,,,,,,,,,,,,,,5.86,,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,,,,,,,,
